"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"VC.IDP.TOCV","","","",
"VA.STD.ERR","","","",
"VA.NO.SRC","","","",
"TX.VAL.TECH.MF.ZS","Exportations de haute technologie (% des exportations de biens manufacturés)","Les exportations de haute technologie sont des produits avec une haute intensité en recherche et développement, telle que dans l'aérospatial, l'informatique, les produits pharmaceutiques, les instruments scientifiques et la machinerie électrique.","Base de données du Comtrade, Nations Unies.",
"TX.VAL.MRCH.XD.WD","Indice de la valeur des exportations (2000=100) ","Les valeurs des exportations sont la valeur actuelle des importations (f.o.b) convertie en dollars américains et exprimée en pourcentage de la moyenne pour la période de référence (2000). Les indices de la valeur des exportations de la CNUCED sont indiqués pour la plupart des économies. Pour certaines économies pour lesquelles la CNUCED ne publient pas de données, les indices de la valeur des exportations sont dérivés des indices du volume des exportations (ligne 72) et des indices de la valeur unitaire correspondante (ligne 74) des Statistiques financières internationales du FMI.","Conférence des Nations Unies sur le Commerce et le Développement, Manuel de Statistiques et fichiers de données, Statistiques financières internationales du Fonds Monétaire international.",
"TX.VAL.MRCH.R6.ZS","Exportations de marchandises vers les pays en développement de l’Afrique subsaharienne (% des exportations totales de marchandises)","Les exportations de marchandises des économies en développement en Afrique subsaharienne sont la somme des exportations de marchandises par l’économie déclarante vers des économies en développement d’Afrique subsaharienne selon la classification des économies de la Banque mondiale. Les données sont exprimées en pourcentage des exportations totales de marchandises par l’économie. Les données sont seulement calculées si au moins la moitié des économies du groupe de pays partenaires avait des données non manquantes.","Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.",
"TX.VAL.MRCH.R2.ZS","Exportations de marchandises vers les pays en développement d’Europe et d’Asie centrale (% des exportations totales de marchandises)","Les exportations de marchandises des économies en développement d’Europe et Asie centrale sont la somme des exportations de marchandises par l’économie déclarante vers des économies en développement d’Europe et d'Asie centrale selon la classification des économies de la Banque mondiale. Les données sont exprimées en pourcentage des exportations totales de marchandises par l’économie. Les données sont seulement calculées si au moins la moitié des économies du groupe de pays partenaires avait des données non manquantes.","Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.",
"TX.VAL.MRCH.CD.WT","Exportations de marchandises ($ US courants)","Les exportations de marchandises indiquent la valeur f.o.b. des marchandises fournies au reste du monde évaluée en dollars américains courants.","Organisation mondiale du commerce.",
"TX.VAL.INSF.ZS.WT","Assurance et services financiers (% des exportations de services commerciaux)","L'assurance et les services financiers couvrent l'assurance du fret sur les marchandises exportées et autre assurance directe telle que l'assurance vie, les services d'intermédiation financière tels que les commissions, les opérations sur devises, ainsi que les services de courtage, et les services complémentaires tels que les services opérationnels et de réglementation du marché financier.","Fonds monétaire international, rapport annuel des statistiques de la balance des paiements et fichiers de données.",
"TX.VAL.AGRI.ZS.UN","Exportations de matériaux agricoles bruts (% des exportations de marchandises)","Les matières premières agricoles comprennent la section 2 de la CTCI (matériaux bruts sauf combustibles) sauf les divisions 22, 27 (engrais et minéraux bruts sauf le charbon, le pétrole, et les pierres précieuses) et 28 (minerais métalliques et matériaux de récupération).","Estimations du personnel de la Banque mondiale issues de la base de données Comtrade maintenue par la Division des Statistiques des Nations Unies.",
"TT.PRI.MRCH.XD.WD","Indice des termes de l’échange des marchandises nets (2000=100)","L'indice des termes de l'échange de marchandises nets est calculé comme le rapport de l'indice de la valeur unitaire des exportations sur l'indice de la valeur unitaire des importations, mesuré sur l'année de référence 2000. L'indice de la valeur unitaire s'appuie sur les données déclarées par les pays qui satisfont régulièrement aux contrôles de qualité de la CNUCED, complétées par les estimations de la CNUCED à l'aide des valeurs vénales de l'année précédente, conformément à la classification type pour le commerce international à trois chiffres en tant que coefficients de pondération.  Pour améliorer la couverture des données, notamment en ce qui concerne les périodes les plus récentes, la CNUCED réalise un ensemble d'indices moyens des prix dans la nomenclature à trois degrés des produits de la classification type pour le commerce international version 3, à l'aide des statistiques des prix des marchandises de la CNUCED, de sources internationales et nationales. Le secrétariat de la CNUCED estime ensuite et calcule les indices des valeurs unitaires au niveau du pays, en utilisant les valeurs de reprise de l'année en cours en tant que coefficients de pondération.","Conférence des Nations Unies sur le Commerce et le Développement, Manuel de Statistiques et fichiers de données, Statistiques financières internationales du Fonds Monétaire international.",
"TM.VAL.OTHR.ZS.WT","Informatique, communications et autres services (% des importations de services commerciaux)","L'informatique, les communications et les autres services (en % des importations du service commercial) comprennent les activités telles que les télécommunications internationales, les services postaux et de messagerie ; les données informatiques ; les transactions de service liées aux nouvelles entre les résidents et les non-résidents ; les services de construction ; les redevances et droits de permis ; les divers services commerciaux, professionnels et techniques ; ainsi que les services de loisirs, personnels et culturels.","Fonds monétaire international, rapport annuel des statistiques de la balance des paiements et fichiers de données.",
"TM.VAL.MRCH.RS.ZS","Importations de marchandises par le pays déclarant, résiduel (% des importations totales de marchandises)","Les importations résiduelles de marchandises par le pays déclarant sont le total des importations de marchandises par l’économie déclarante dans le reste du monde tel que figurant dans la base de données de la Direction du commerce du FMI, moins la somme des importations par l’économie déclarante des économies à faible revenu, à revenu intermédiaire et à revenu élevé selon la classification des économies de la Banque mondiale. Ceci inclut les échanges avec des partenaires non spécifiés ou avec des économies qui ne rentrent pas dans la classification de la Banque mondiale. Les données sont exprimées en pourcentage des importations totales de marchandises de l’économie.","Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.",
